name,address,rating,total_photos,total_ratings,coordinates
The Sidekick,1374 Queen St E,8.8,106.0,35.0,"43.6592088,-79.3348396"
Tabule,810 Queen St E,8.6,72.0,128.0,"43.6592088,-79.3348396"
District 28 Bar Bistro,28 Logan Ave,8.1,22.0,8.0,"43.6592088,-79.3348396"
Reliable Halibut & Chips,954 Queen St E,7.9,22.0,14.0,"43.6592088,-79.3348396"
Golden Pizza,1201 Broadview Ave,7.4,14.0,8.0,"43.689211,-79.35438"
Danish Pastry Shop,1017 Pape Ave,7.7,42.0,14.0,"43.689211,-79.35438"
The Greek Grill,128 O'Connor Dr,7.3,36.0,34.0,"43.689211,-79.35438"
The O'Connor Station,158 O'Connor Dr,7.1,6.0,10.0,"43.689211,-79.35438"
Goat Coffee Co,893 Pape Ave,7.2,32.0,36.0,"43.689211,-79.35438"
Subway,1016 1/2 Pape Ave,6.7,1.0,5.0,"43.689211,-79.35438"
Tzatziki,873 Pape Ave,6.7,15.0,23.0,"43.689211,-79.35438"
Number One Chinese Restaurant,862 Pape Ave,6.3,5.0,8.0,"43.689211,-79.35438"
Burger King,1068 Pape Ave,5.9,0.0,0.0,"43.689211,-79.35438"
Ho Ho BBQ,3833 Midland Ave,,0.0,0.0,"43.689211,-79.35438"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,"43.655431,-79.380653"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,"43.655431,-79.380653"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.655431,-79.380653"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.655431,-79.380653"
Salad King,340 Yonge St,8.1,513.0,732.0,"43.655431,-79.380653"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,"43.655431,-79.380653"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,"43.655431,-79.380653"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.655431,-79.380653"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,"43.655431,-79.380653"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.655431,-79.380653"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.656927,-79.378497"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.656927,-79.378497"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,"43.656927,-79.378497"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.656927,-79.378497"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,"43.656927,-79.378497"
Salad King,340 Yonge St,8.1,513.0,732.0,"43.656927,-79.378497"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.656927,-79.378497"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.656927,-79.378497"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.656927,-79.378497"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,"43.656927,-79.378497"
Propeller Coffee Co,50 Wade Ave,8.6,120.0,93.0,"43.661324,-79.449534"
The Gaslight,1426 Bloor St W,8.6,2.0,30.0,"43.661324,-79.449534"
Cabin Fever Collective,1669 Bloor St W,8.9,49.0,49.0,"43.661324,-79.449534"
Burdock,1184 Bloor St W,9.1,182.0,95.0,"43.661324,-79.449534"
The 3 Speed,1163 Bloor St W,9.0,110.0,150.0,"43.661324,-79.449534"
Bandit Brewery,2125 Dundas St W,8.6,316.0,113.0,"43.661324,-79.449534"
Whelan's Gate Irish Pub,1663 Bloor St W,8.2,8.0,20.0,"43.661324,-79.449534"
Donna’s,827 Lansdowne Ave,7.5,9.0,11.0,"43.661324,-79.449534"
Boo Radleys Junction Bar N Gri,1482 Dupont Ave,7.5,31.0,45.0,"43.661324,-79.449534"
Henderson Brewing Co,128A Sterling Rd,7.8,131.0,55.0,"43.661324,-79.449534"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.658295,-79.372346"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.658295,-79.372346"
The George Street Diner,129 George St,8.7,168.0,173.0,"43.658295,-79.372346"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.658295,-79.372346"
House on Parliament,454 Parliament St,8.9,220.0,279.0,"43.658295,-79.372346"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.658295,-79.372346"
Jazz Bistro,251 Victoria St,8.5,64.0,36.0,"43.658295,-79.372346"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.658295,-79.372346"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,"43.658295,-79.372346"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,"43.658295,-79.372346"
Tim Hortons,2480 Gerrard St E,6.9,7.0,14.0,"43.6940155,-79.2889842"
Double Sushi Japanese Restaurant,2795 Danforth Ave,6.4,14.0,31.0,"43.6940155,-79.2889842"
Tim Hortons,3003 Danforth Ave,6.1,1.0,3.0,"43.6940155,-79.2889842"
Maple Leaf Dairy,2861 Danforth Ave,6.1,8.0,9.0,"43.6940155,-79.2889842"
Pizza Pizza,2795 Danforth Ave,6.0,6.0,9.0,"43.6940155,-79.2889842"
Mr.Sub,3040 Danforth Ave,,0.0,0.0,"43.6940155,-79.2889842"
Tim Hortons,3075 Danforth Ave,,0.0,0.0,"43.6940155,-79.2889842"
Wing Wing Restaurant,3032 Danforth Ave,,0.0,0.0,"43.6940155,-79.2889842"
Mr Tastys Drive in,2921 Danforth Ave,5.8,2.0,8.0,"43.6940155,-79.2889842"
Church's Chicken,3003 Danforth Ave,,0.0,0.0,"43.6940155,-79.2889842"
CocoaLatte,671 Saint Clair Ave W,7.9,45.0,64.0,"43.6809164,-79.4229684"
Queen of Persia,672A St Clair Ave W,7.9,5.0,8.0,"43.6809164,-79.4229684"
Ferro Bar & Cafe,769 Saint Clair Ave W,8.2,63.0,64.0,"43.6809164,-79.4229684"
Bar Ape,283 Rushton Rd,7.7,18.0,28.0,"43.6809164,-79.4229684"
