name,address,rating,total_photos,total_ratings,coordinates
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,"43.65003919999999,-79.3733541"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,"43.65003919999999,-79.3733541"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.65003919999999,-79.3733541"
Terroni,57A Adelaide St E,8.6,375.0,402.0,"43.65003919999999,-79.3733541"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,"43.65003919999999,-79.3733541"
C'est What,67 Front St E,8.3,1182.0,456.0,"43.65003919999999,-79.3733541"
The George Street Diner,129 George St,8.7,168.0,173.0,"43.65003919999999,-79.3733541"
The Keg Steakhouse + Bar,26 the Esplanade,8.7,133.0,183.0,"43.65003919999999,-79.3733541"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.65003919999999,-79.3733541"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.65003919999999,-79.3733541"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.653264,-79.382458"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,"43.653264,-79.382458"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,"43.653264,-79.382458"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.653264,-79.382458"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,"43.653264,-79.382458"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,"43.653264,-79.382458"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,"43.653264,-79.382458"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,"43.653264,-79.382458"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,"43.653264,-79.382458"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,"43.653264,-79.382458"
Koerner Hall,273 Bloor St W,9.2,125.0,81.0,"43.663376,-79.392125"
Mercatto,101 College St,8.2,46.0,82.0,"43.663376,-79.392125"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.663376,-79.392125"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.663376,-79.392125"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.663376,-79.392125"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.663376,-79.392125"
Yamato Japanese Restaurant,18 Bellefair Ave,8.6,100.0,101.0,"43.663376,-79.392125"
Trattoria Nervosa,75 Yorkville Ave,8.7,199.0,303.0,"43.663376,-79.392125"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.663376,-79.392125"
Eataly,55 Bloor St W,8.4,141.0,48.0,"43.663376,-79.392125"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.660439,-79.385525"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.660439,-79.385525"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.660439,-79.385525"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.660439,-79.385525"
Mercatto,101 College St,8.2,46.0,82.0,"43.660439,-79.385525"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.660439,-79.385525"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.660439,-79.385525"
Hair of the Dog,425 Church St,8.5,257.0,271.0,"43.660439,-79.385525"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.660439,-79.385525"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.660439,-79.385525"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.659226,-79.390213"
Mercatto,101 College St,8.2,46.0,82.0,"43.659226,-79.390213"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.659226,-79.390213"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.659226,-79.390213"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.659226,-79.390213"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.659226,-79.390213"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.659226,-79.390213"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.659226,-79.390213"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,"43.659226,-79.390213"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,"43.659226,-79.390213"
Mercatto,101 College St,8.2,46.0,82.0,"43.65995,-79.38964"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.65995,-79.38964"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.65995,-79.38964"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.65995,-79.38964"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.65995,-79.38964"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.65995,-79.38964"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.65995,-79.38964"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.65995,-79.38964"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,"43.65995,-79.38964"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,"43.65995,-79.38964"
Mercatto,101 College St,8.2,46.0,82.0,"43.661803,-79.389682"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.661803,-79.389682"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.661803,-79.389682"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.661803,-79.389682"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.661803,-79.389682"
Koerner Hall,273 Bloor St W,9.2,125.0,81.0,"43.661803,-79.389682"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.661803,-79.389682"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.661803,-79.389682"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.661803,-79.389682"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.661803,-79.389682"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.660087,-79.385655"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.660087,-79.385655"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.660087,-79.385655"
Mercatto,101 College St,8.2,46.0,82.0,"43.660087,-79.385655"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.660087,-79.385655"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.660087,-79.385655"
Hair of the Dog,425 Church St,8.5,257.0,271.0,"43.660087,-79.385655"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.660087,-79.385655"
Salad King,340 Yonge St,8.1,513.0,732.0,"43.660087,-79.385655"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.660087,-79.385655"
Birds and Beans Cafe,2415B Lake Shore Blvd Wes,8.8,55.0,57.0,"43.6146692,-79.4873148"
Pearl Sushi,2391B Lake Shore Blvd W,8.2,7.0,24.0,"43.6146692,-79.4873148"
Nimman Thai Cuisine,2451 Lake Shore Blvd W,8.2,16.0,16.0,"43.6146692,-79.4873148"
Tich - Modern Indian Cuisine,2314 Lake Shore Blvd W,8.4,13.0,42.0,"43.6146692,-79.4873148"
Pizzeria Oro di Napoli,2312 Lake Shore Blvd W,8.1,4.0,13.0,"43.6146692,-79.4873148"
La Vinia Restaurant,2350 Lake Shore Blvd W,7.3,16.0,19.0,"43.6146692,-79.4873148"
FBI Pizza,2336 Lake Shore Blvd W,6.9,6.0,33.0,"43.6146692,-79.4873148"
Panagio's All Day Grill,2324 Lake Shore Blvd W,6.8,0.0,8.0,"43.6146692,-79.4873148"
Blue Goose Tavern,1 Blue Goose St,6.9,28.0,30.0,"43.6146692,-79.4873148"
Maurya East Indian Roti,2481 Lake Shore Blvd W,6.1,12.0,16.0,"43.6146692,-79.4873148"
Lola's Gelato,14B Brookers Lane,8.5,10.0,33.0,"43.626265,-79.476723"
Krazy Roll,84 Marine Parade Dr,8.1,13.0,16.0,"43.626265,-79.476723"
Firkin on the Bay,68 Marine Parade Dr,7.4,36.0,50.0,"43.626265,-79.476723"
Eden Trattoria,58 Marine Parade Dr,7.3,82.0,108.0,"43.626265,-79.476723"
Scaddabush Italian Kitchen & Bar Mimico,122 Marine Parade Dr,7.4,9.0,8.0,"43.626265,-79.476723"
Rustic Social House,2083 Lake Shore Blvd W,7.3,0.0,8.0,"43.626265,-79.476723"
Avenue Cafe,72 Pk Lawn Rd,7.5,32.0,31.0,"43.626265,-79.476723"
Rocco's Plum Tomato,164 the Queensway,7.4,13.0,21.0,"43.626265,-79.476723"
U-Know Sushi,170 the Queensway,7.4,4.0,8.0,"43.626265,-79.476723"
Subway,125 the Queensway,6.3,2.0,5.0,"43.626265,-79.476723"
The Simple Kitchen,73 Roncesvalles Ave,7.4,6.0,9.0,"43.63771,-79.458173"
Cherry Bomb Coffee,79 Roncesvalles Ave,7.2,64.0,97.0,"43.63771,-79.458173"
Sunnyside Pavilion Cafe,1755 Lake Shore Blvd W,,0.0,0.0,"43.63771,-79.458173"
Royal Burger,1925 W Lake Shore Blvd,,0.0,0.0,"43.63771,-79.458173"
T Dot Jerk,26 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
Megumi Sushi,20 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
Ginger Express,20 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
Sushi Kira,67 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
Lambretta,89 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
The Whole Plate,83 Roncesvalles Ave,,0.0,0.0,"43.63771,-79.458173"
Cheese Boutique,45 Ripley Ave,9.0,154.0,144.0,"43.6390437,-79.4760109"
Royal Burger,1925 W Lake Shore Blvd,,0.0,0.0,"43.6390437,-79.4760109"
Sushi Master,99 South Kingsway,,0.0,0.0,"43.6390437,-79.4760109"
Danny's Pub & International Cuisine,151 Morningside Ave,,0.0,0.0,"43.6390437,-79.4760109"
Broastyy Chicken,83 Deforest Rd,,0.0,0.0,"43.6390437,-79.4760109"
Black Dice Cafe,1574 Dundas St W,8.4,42.0,44.0,"43.6486599,-79.4376413"
Le Baratin,1600 Dundas St W,8.2,20.0,20.0,"43.6486599,-79.4376413"
Lula Lounge,1585 Dundas St W,8.0,260.0,99.0,"43.6486599,-79.4376413"
Linh Restaurant,1156 College St,8.3,36.0,88.0,"43.6486599,-79.4376413"
Sunny Joes,250 Sorauren Ave,8.3,3.0,9.0,"43.6486599,-79.4376413"
Imanishi Japanese Kitchen,1330 Dundas St W,9.1,27.0,64.0,"43.6486599,-79.4376413"
Loga's Corner,216C Close Ave,8.7,20.0,35.0,"43.6486599,-79.4376413"
Founder Bar,1282 Dundas St W,8.8,58.0,23.0,"43.6486599,-79.4376413"
The Federal,1438 Dundas St W,7.9,68.0,133.0,"43.6486599,-79.4376413"
Black Cat Espresso Bar,1104 College St,7.9,10.0,35.0,"43.6486599,-79.4376413"
Otto's Bierhalle,1087 Queen St W,9.1,78.0,101.0,"43.6423847,-79.4240277"
Hello 123,1122 Queen St W,8.4,25.0,36.0,"43.6423847,-79.4240277"
Cafe Neon,1024 Queen St W,9.0,29.0,63.0,"43.6423847,-79.4240277"
Bar Piquette,1084 Queen St W,8.3,8.0,8.0,"43.6423847,-79.4240277"
Bar Fancy,1070 Queen St E,8.4,33.0,86.0,"43.6423847,-79.4240277"
Mamakas Taverna,80 Ossington Ave,9.1,66.0,116.0,"43.6423847,-79.4240277"
Union Restaurant,72A Ossington Ave,9.1,130.0,248.0,"43.6423847,-79.4240277"
Louie - Craft Coffee,1187 King St W,8.4,36.0,71.0,"43.6423847,-79.4240277"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.6423847,-79.4240277"
Bang Bang Ice Cream & Bakery,93 1/2 Ossington Ave,8.9,309.0,366.0,"43.6423847,-79.4240277"
The Greater Good Bar,229 Geary Ave,9.1,53.0,59.0,"43.6702236,-79.4360232"
Parallel,217 Geary Ave,8.5,19.0,34.0,"43.6702236,-79.4360232"
Marcello's Pizzeria,1163 Saint Clair Ave W,8.9,24.0,55.0,"43.6702236,-79.4360232"
Desotos,1079 Saint Clair Ave W,8.6,35.0,51.0,"43.6702236,-79.4360232"
Actinolite Restaurant,971 Ossington Ave,8.0,66.0,36.0,"43.6702236,-79.4360232"
The Sovereign,1359 Davenport Rd,7.6,14.0,22.0,"43.6702236,-79.4360232"
Newport Fish & Seafood,181 Geary Ave,,0.0,0.0,"43.6702236,-79.4360232"
Gaucho Pie Co,346 Westmoreland Ave N,,0.0,0.0,"43.6702236,-79.4360232"
McDonald's,1185 Dupont St,,0.0,0.0,"43.6702236,-79.4360232"
Trattoria Traverniti North,989 Dovercourt Rd,,0.0,0.0,"43.6702236,-79.4360232"
Ezra's Pound,238 Dupont St,8.6,54.0,103.0,"43.67883,-79.408723"
Creeds Coffee Bar,390 Dupont St,8.3,21.0,39.0,"43.67883,-79.408723"
Playa Cabana,111 Dupont St,8.5,120.0,212.0,"43.67883,-79.408723"
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Pl,8.7,92.0,108.0,"43.67883,-79.408723"
BlueBlood Steakhouse,1 Austin Terr,7.3,35.0,26.0,"43.67883,-79.408723"
Le Paradis Brasserie Bistro,166 Bedford Rd,7.8,43.0,49.0,"43.67883,-79.408723"
Pour House Irish Pub,182 Dupont St,7.3,76.0,132.0,"43.67883,-79.408723"
Annapurna Vegetarian Restaurant,1085 Bathurst St,7.2,2.0,11.0,"43.67883,-79.408723"
Tim Hortons,603 Davenport Rd,6.7,16.0,55.0,"43.67883,-79.408723"
Govinda's,243 Ave Rd,7.2,14.0,18.0,"43.67883,-79.408723"
Black Camel,4 Crescent Rd,9.0,86.0,255.0,"43.6752732,-79.3778458"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.6752732,-79.3778458"
The Keg Steakhouse & Bar,515 Jarvis St,8.9,249.0,308.0,"43.6752732,-79.3778458"
Maison Selby,592 Sherbourne St,7.9,22.0,20.0,"43.6752732,-79.3778458"
Piedmont Coffee Bar,66 Isabella St,8.2,12.0,12.0,"43.6752732,-79.3778458"
Tokyo Kitchen,20 Charles St E,8.2,37.0,39.0,"43.6752732,-79.3778458"
Church Street Espresso,585 Church St,7.9,11.0,40.0,"43.6752732,-79.3778458"
Constantine,15 Charles St E,7.9,13.0,22.0,"43.6752732,-79.3778458"
Crown & Dragon Pub,890 Yonge St,7.7,82.0,89.0,"43.6752732,-79.3778458"
Buca,53 Scollard St,7.7,99.0,118.0,"43.6752732,-79.3778458"
Nadege,780 Queen St W,8.7,482.0,411.0,"43.645469,-79.411084"
Sud Forno,716 Queen St W,9.0,204.0,216.0,"43.645469,-79.411084"
Terroni,720 Queen St W,8.7,246.0,348.0,"43.645469,-79.411084"
Oyster Boy,872 Queen St W,8.8,109.0,118.0,"43.645469,-79.411084"
North of Brooklyn Pizzeria,650 1/2 Queen St W,8.7,120.0,128.0,"43.645469,-79.411084"
Pennies,127 Strachan Ave,8.3,5.0,16.0,"43.645469,-79.411084"
Fresh on Crawford,894 Queen St W,8.3,177.0,252.0,"43.645469,-79.411084"
Northern Belle,913 Dundas St W,9.3,44.0,74.0,"43.645469,-79.411084"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.645469,-79.411084"
Union Restaurant,72A Ossington Ave,9.1,130.0,248.0,"43.645469,-79.411084"
Ferro Bar & Cafe,769 Saint Clair Ave W,8.2,63.0,64.0,"43.6882821,-79.4253856"
CocoaLatte,671 Saint Clair Ave W,7.9,45.0,64.0,"43.6882821,-79.4253856"
Queen of Persia,672A St Clair Ave W,7.9,5.0,8.0,"43.6882821,-79.4253856"
Bar Ape,283 Rushton Rd,7.7,18.0,28.0,"43.6882821,-79.4253856"
Krave Coffee,781 St Clair Ave W,7.5,9.0,28.0,"43.6882821,-79.4253856"
Thai Noodle,62 Vaughan Rd,7.1,38.0,14.0,"43.6882821,-79.4253856"
Aviv,779 St Clair Ave W,7.1,27.0,17.0,"43.6882821,-79.4253856"
Nodo Hillcrest,794 Saint Clair Ave W,6.9,2.0,9.0,"43.6882821,-79.4253856"
Savera Indian Cuisine,815 St Clair Ave W,6.9,4.0,8.0,"43.6882821,-79.4253856"
Sea Witch Fish & Chips,636 Saint Clair Ave W,6.7,12.0,31.0,"43.6882821,-79.4253856"
The Fourth Man in the Fire,832 Dundas St W,8.4,8.0,8.0,"43.651603,-79.408346"
Patois,794 Dundas St W,8.2,103.0,98.0,"43.651603,-79.408346"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.651603,-79.408346"
Bar Raval,505 College St,9.0,215.0,348.0,"43.651603,-79.408346"
Ramen Isshin,421 College St,9.0,168.0,247.0,"43.651603,-79.408346"
Sud Forno,716 Queen St W,9.0,204.0,216.0,"43.651603,-79.408346"
North of Brooklyn Pizzeria,650 1/2 Queen St W,8.7,116.0,128.0,"43.651603,-79.408346"
Sneaky Dee's,431 College St,8.6,521.0,606.0,"43.651603,-79.408346"
Voodoo Child,388 College St,8.9,118.0,149.0,"43.651603,-79.408346"
Film Cafe,230 Augusta Ave,8.7,48.0,46.0,"43.651603,-79.408346"
Fresh on Bloor,326 Bloor St W,8.7,213.0,381.0,"43.670206,-79.402643"
Koerner Hall,273 Bloor St W,9.2,125.0,81.0,"43.670206,-79.402643"
Gyubee,335 Bloor St W,8.1,12.0,21.0,"43.670206,-79.402643"
Ezra's Pound,238 Dupont St,8.6,54.0,103.0,"43.670206,-79.402643"
Joso's,202 Davenport Rd,8.8,32.0,49.0,"43.670206,-79.402643"
Rasa,196 Robert St,9.1,81.0,115.0,"43.670206,-79.402643"
Playa Cabana,111 Dupont St,8.5,120.0,212.0,"43.670206,-79.402643"
Yasu,81 Harbord St,8.6,104.0,61.0,"43.670206,-79.402643"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.670206,-79.402643"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.670206,-79.402643"
Rustle & Still Café,605 Bloor St W,8.8,20.0,31.0,"43.661559,-79.413845"
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.661559,-79.413845"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.661559,-79.413845"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.661559,-79.413845"
Bar Raval,505 College St,9.0,215.0,348.0,"43.661559,-79.413845"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.661559,-79.413845"
La Carnita,501 College St,8.8,406.0,420.0,"43.661559,-79.413845"
Rasa,196 Robert St,9.1,81.0,115.0,"43.661559,-79.413845"
Korean Village Restaurant,628 Bloor St W,7.9,98.0,138.0,"43.661559,-79.413845"
Northwood,815 Bloor St W,8.6,67.0,156.0,"43.661559,-79.413845"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.6560758,-79.393259"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.6560758,-79.393259"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,"43.6560758,-79.393259"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.6560758,-79.393259"
Film Cafe,230 Augusta Ave,8.7,48.0,46.0,"43.6560758,-79.393259"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,"43.6560758,-79.393259"
Café Pamenar,307 Augusta Ave,8.6,186.0,213.0,"43.6560758,-79.393259"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.6560758,-79.393259"
Dim Sum King,421 Dundas St W,7.8,133.0,155.0,"43.6560758,-79.393259"
Dark Horse Espresso Bar,215 Spadina Ave,8.4,368.0,525.0,"43.6560758,-79.393259"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.6580442,-79.3927404"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.6580442,-79.3927404"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.6580442,-79.3927404"
Prenup Pub,191 College St,7.7,41.0,74.0,"43.6580442,-79.3927404"
Mercatto,101 College St,8.2,46.0,82.0,"43.6580442,-79.3927404"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.6580442,-79.3927404"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.6580442,-79.3927404"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,"43.6580442,-79.3927404"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,"43.6580442,-79.3927404"
Café Pamenar,307 Augusta Ave,8.6,186.0,213.0,"43.6580442,-79.3927404"
Moonbean Coffee Co,30 Saint Andrew St,8.7,158.0,212.0,"43.6568254,-79.3966159"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.6568254,-79.3966159"
Film Cafe,230 Augusta Ave,8.7,48.0,46.0,"43.6568254,-79.3966159"
Little Pebbles,160 Baldwin St,8.3,44.0,45.0,"43.6568254,-79.3966159"
Café Pamenar,307 Augusta Ave,8.6,186.0,213.0,"43.6568254,-79.3966159"
Otto's Berlin Döner,256 Augusta Ave,8.4,86.0,155.0,"43.6568254,-79.3966159"
Voodoo Child,388 College St,8.9,118.0,149.0,"43.6568254,-79.3966159"
Ozzy's Burgers,66 Nassau St,8.3,85.0,50.0,"43.6568254,-79.3966159"
Dumpling House Restaurant,328 Spadina Ave,8.0,190.0,223.0,"43.6568254,-79.3966159"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.6568254,-79.3966159"
Woody's Burgers,3795 Lake Shore Blvd W,8.7,73.0,135.0,"43.5927419,-79.54033009999999"
Fairgrounds Roastery Cafe,3785 Lake Shore Blvd W,8.2,25.0,43.0,"43.5927419,-79.54033009999999"
The Empanada Co,122 Fortieth St,7.7,18.0,29.0,"43.5927419,-79.54033009999999"
Burrito Boyz,3803 Lake Shore Blvd W,7.6,14.0,37.0,"43.5927419,-79.54033009999999"
George the Greek,3575 Lake Shore Blvd W,7.5,7.0,26.0,"43.5927419,-79.54033009999999"
850 Degrees,3455 Lake Shore Blvd W,7.9,14.0,38.0,"43.5927419,-79.54033009999999"
Pulcinella,3687 Lake Shore Blvd W,7.1,7.0,10.0,"43.5927419,-79.54033009999999"
Thrive Organic Kitchen & Cafe,3473 Lake Shore Blvd W,7.5,19.0,24.0,"43.5927419,-79.54033009999999"
Sloppy Joe's Bar & Grill,3527 Lake Shore Blvd W,7.4,17.0,44.0,"43.5927419,-79.54033009999999"
Timothy's Pub,344 Brown's Line,7.5,10.0,23.0,"43.5927419,-79.54033009999999"
Tatsu's Bread,3180 Lake Shore Blvd W,8.2,9.0,17.0,"43.597082,-79.522768"
Ranu Thai Cuisine,3308 Lake Shore Blvd W,7.6,3.0,10.0,"43.597082,-79.522768"
850 Degrees,3455 Lake Shore Blvd W,7.9,14.0,38.0,"43.597082,-79.522768"
Thrive Organic Kitchen & Cafe,3473 Lake Shore Blvd W,7.5,19.0,24.0,"43.597082,-79.522768"
George the Greek,3575 Lake Shore Blvd W,7.5,7.0,26.0,"43.597082,-79.522768"
Ghazale Restaurant,3180 Lake Shore Blvd W,6.9,16.0,19.0,"43.597082,-79.522768"
Sloppy Joe's Bar & Grill,3527 Lake Shore Blvd W,7.4,17.0,44.0,"43.597082,-79.522768"
Tim Hortons,3316 Lakeshore Rd W,6.3,18.0,43.0,"43.597082,-79.522768"
Tim Hortons,21 Colonel Smith Park Dr,6.3,11.0,6.0,"43.597082,-79.522768"
Long Branch Fish & Chips,3260 Lake Shore Blvd W,,0.0,0.0,"43.597082,-79.522768"
Sanremo Bakery Inc,374 Royal York Rd,8.9,159.0,205.0,"43.6171635,-79.4971065"
Birds and Beans Cafe,2415B Lake Shore Blvd Wes,8.8,55.0,57.0,"43.6171635,-79.4971065"
Tich - Modern Indian Cuisine,2314 Lake Shore Blvd W,8.4,13.0,42.0,"43.6171635,-79.4971065"
Pearl Sushi,2391B Lake Shore Blvd W,8.2,7.0,24.0,"43.6171635,-79.4971065"
Nimman Thai Cuisine,2451 Lake Shore Blvd W,8.2,16.0,16.0,"43.6171635,-79.4971065"
Pizzeria Oro di Napoli,2312 Lake Shore Blvd W,8.1,4.0,13.0,"43.6171635,-79.4971065"
Blue Goose Tavern,1 Blue Goose St,6.9,28.0,30.0,"43.6171635,-79.4971065"
La Vinia Restaurant,2350 Lake Shore Blvd W,7.3,16.0,19.0,"43.6171635,-79.4971065"
FBI Pizza,2336 Lake Shore Blvd W,6.9,6.0,33.0,"43.6171635,-79.4971065"
Panagio's All Day Grill,2324 Lake Shore Blvd W,6.8,0.0,8.0,"43.6171635,-79.4971065"
Birds and Beans Cafe,2415B Lake Shore Blvd Wes,8.8,55.0,57.0,"43.612063,-79.496573"
Sanremo Bakery Inc,374 Royal York Rd,8.9,159.0,205.0,"43.612063,-79.496573"
Nimman Thai Cuisine,2451 Lake Shore Blvd W,8.2,16.0,16.0,"43.612063,-79.496573"
Pearl Sushi,2391B Lake Shore Blvd W,8.2,7.0,24.0,"43.612063,-79.496573"
Tich - Modern Indian Cuisine,2314 Lake Shore Blvd W,8.4,13.0,42.0,"43.612063,-79.496573"
Pizzeria Oro di Napoli,2312 Lake Shore Blvd W,8.1,4.0,13.0,"43.612063,-79.496573"
La Vinia Restaurant,2350 Lake Shore Blvd W,7.3,16.0,19.0,"43.612063,-79.496573"
Blue Goose Tavern,1 Blue Goose St,6.9,28.0,30.0,"43.612063,-79.496573"
FBI Pizza,2336 Lake Shore Blvd W,6.9,6.0,33.0,"43.612063,-79.496573"
Panagio's All Day Grill,2324 Lake Shore Blvd W,6.8,0.0,8.0,"43.612063,-79.496573"
Tim Hortons,152 Pk Lawn Rd,7.9,13.0,38.0,"43.63732,-79.489083"
Rocco's Plum Tomato,164 the Queensway,7.4,13.0,21.0,"43.63732,-79.489083"
U-Know Sushi,170 the Queensway,7.4,4.0,8.0,"43.63732,-79.489083"
Subway,125 the Queensway,6.3,2.0,5.0,"43.63732,-79.489083"
KFC,156 the Queensway,6.1,1.0,1.0,"43.63732,-79.489083"
Tim Hortons,250 the Queensway,6.0,5.0,12.0,"43.63732,-79.489083"
Danny's Pub & International Cuisine,151 Morningside Ave,,0.0,0.0,"43.63732,-79.489083"
Romi's Pizza,232 Berry Rd,,0.0,0.0,"43.63732,-79.489083"
Sushi Master,99 South Kingsway,,0.0,0.0,"43.63732,-79.489083"
Fresh Advancements Inc,165 the Queensway &,,0.0,0.0,"43.63732,-79.489083"
Tatsu's Bread,3180 Lake Shore Blvd W,8.2,9.0,17.0,"43.5961692,-79.5160575"
Cellar Door,3003 Lake Shore Blvd W,8.4,3.0,15.0,"43.5961692,-79.5160575"
Ranu Thai Cuisine,3308 Lake Shore Blvd W,7.6,3.0,10.0,"43.5961692,-79.5160575"
Ghazale Restaurant,3180 Lake Shore Blvd W,6.9,16.0,19.0,"43.5961692,-79.5160575"
Albatros Pub,3057 Lake Shore Blvd W,7.2,9.0,29.0,"43.5961692,-79.5160575"
Bombay on the Lake,3007 Lake Shore Blvd W,7.1,6.0,17.0,"43.5961692,-79.5160575"
Tim Hortons,21 Colonel Smith Park Dr,6.3,11.0,6.0,"43.5961692,-79.5160575"
Extreme Pita,21 Colonel Samuel Smith Park Dr,,0.0,0.0,"43.5961692,-79.5160575"
Tim Hortons,3316 Lakeshore Rd W,6.3,18.0,43.0,"43.5961692,-79.5160575"
