name,address,num_of_stations,coordinates
Lansdowne Subway Station,1287 Bloor St W,2,"43.651238,-79.43868"
,,0,"43.6544915,-79.422634"
,,0,"43.6543604,-79.4655296"
,,0,"43.635932,-79.465083"
Dundas West Subway Station,1525 Bloor St W,1,"43.654501,-79.460053"
,,0,"43.637894,-79.454823"
,,0,"43.634896,-79.467763"
,,0,"43.6535269,-79.4650569"
,,0,"43.6314,-79.4304"
,,0,"43.636731,-79.444966"
Dundas West Subway Station,1525 Bloor St W,3,"43.6534268,-79.4512787"
Bloor-Danforth Subway Line,,3,"43.6534268,-79.4512787"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6534268,-79.4512787"
,,0,"43.7112153,-79.39894"
St Patrick Subway Station,449 University Ave,5,"43.655227,-79.39201"
Queen's Park Subway Station,505 University Ave,5,"43.655227,-79.39201"
Osgoode SUBWAY Station,250 University Ave,5,"43.655227,-79.39201"
Dundas Subway Station,300 Yonge St,5,"43.655227,-79.39201"
St Patrick Subway Station,147 University Ave,5,"43.655227,-79.39201"
Pape Subway Station,743 Pape Ave,2,"43.685167,-79.34962"
Chester Subway Station,22 Chester Ave,2,"43.685167,-79.34962"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.6704537,-79.39014"
Rosedale Subway Station,1009 Yonge St,4,"43.6704537,-79.39014"
Wellesley Subway Station,551 Yonge St,4,"43.6704537,-79.39014"
St. George Subway Station,323 Bloor St W,4,"43.6704537,-79.39014"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.6691099,-79.38551"
Wellesley Subway Station,551 Yonge St,4,"43.6691099,-79.38551"
Sherbourne Subway Station,420 Bloor St E,4,"43.6691099,-79.38551"
Rosedale Subway Station,1009 Yonge St,4,"43.6691099,-79.38551"
,,0,"43.641389,-79.404444"
,,0,"43.643834,-79.396649"
St Patrick Subway Station,449 University Ave,5,"43.6545174,-79.3895315"
Osgoode SUBWAY Station,250 University Ave,5,"43.6545174,-79.3895315"
Queen's Park Subway Station,505 University Ave,5,"43.6545174,-79.3895315"
Dundas Subway Station,300 Yonge St,5,"43.6545174,-79.3895315"
St Patrick Subway Station,147 University Ave,5,"43.6545174,-79.3895315"
Spadina Subway Station,371 Bloor St W,3,"43.665846,-79.404998"
Spadina Station North Entrance,68 Spadina Rd,3,"43.665846,-79.404998"
St. George Subway Station,323 Bloor St W,3,"43.665846,-79.404998"
St Patrick Subway Station,147 University Ave,4,"43.6461,-79.3895"
Osgoode SUBWAY Station,250 University Ave,4,"43.6461,-79.3895"
Union Subway Station,55 Front St E,4,"43.6461,-79.3895"
St Patrick Subway Station,449 University Ave,4,"43.6461,-79.3895"
,,0,"43.671349,-79.29451"
,,0,"43.667208,-79.312315"
,,0,"43.669328,-79.288949"
,,0,"43.672571,-79.289"
,,0,"43.638497,-79.39192"
,,0,"43.662771,-79.315223"
,,0,"43.66852,-79.363525"
,,0,"43.652473,-79.401456"
,,0,"43.643975,-79.419576"
,,0,"43.651318,-79.36023"
Dundas Subway Station,300 Yonge St,6,"43.656094,-79.381484"
St Patrick Subway Station,449 University Ave,6,"43.656094,-79.381484"
Osgoode SUBWAY Station,250 University Ave,6,"43.656094,-79.381484"
King Subway Station,70 Yonge St,6,"43.656094,-79.381484"
Queen's Park Subway Station,505 University Ave,6,"43.656094,-79.381484"
St Patrick Subway Station,147 University Ave,6,"43.656094,-79.381484"
Spadina Station North Entrance,68 Spadina Rd,3,"43.670318,-79.405181"
Spadina Subway Station,371 Bloor St W,3,"43.670318,-79.405181"
St. George Subway Station,323 Bloor St W,3,"43.670318,-79.405181"
,,0,"43.676667,-79.416111"
,,0,"43.640634,-79.435841"
,,0,"43.639444,-79.423611"
,,0,"43.67,-79.42083333333333"
Spadina Station North Entrance,68 Spadina Rd,1,"43.671389,-79.416389"
,,0,"43.68,-79.42500000000001"
,,0,"43.6394444,-79.42527777777778"
Spadina Station North Entrance,68 Spadina Rd,2,"43.675791,-79.40698"
Spadina Subway Station,371 Bloor St W,2,"43.675791,-79.40698"
Spadina Station North Entrance,68 Spadina Rd,1,"43.675556,-79.410278"
Spadina Station North Entrance,68 Spadina Rd,1,"43.674444,-79.414722"
Spadina Station North Entrance,68 Spadina Rd,3,"43.671513,-79.408317"
Spadina Subway Station,371 Bloor St W,3,"43.671513,-79.408317"
St. George Subway Station,323 Bloor St W,3,"43.671513,-79.408317"
Broadview Subway Station,90 Danforth Ave,2,"43.6783213,-79.35822"
Chester Subway Station,22 Chester Ave,2,"43.6783213,-79.35822"
Chester Subway Station,22 Chester Ave,2,"43.6848652,-79.356602"
Broadview Subway Station,90 Danforth Ave,2,"43.6848652,-79.356602"
Pape Subway Station,743 Pape Ave,3,"43.68395,-79.347046"
Chester Subway Station,22 Chester Ave,3,"43.68395,-79.347046"
