name,address,yelp_num_stations,coordinates
Museum Subway Station,75 Queen's Park,7.0,"43.65988,-79.38279"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.65988,-79.38279"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.65988,-79.38279"
St Patrick Subway Station,449 University Avenue,7.0,"43.65988,-79.38279"
Queen Station,171 Yonge Street,7.0,"43.65988,-79.38279"
Queen's Park Subway Station,129 College Street,7.0,"43.65988,-79.38279"
Queen Subway Station,8 Queen Street W,7.0,"43.65988,-79.38279"
Museum Subway Station,75 Queen's Park,5.0,"43.667023,-79.401805"
Spadina Subway Station,6 Spadina Road,5.0,"43.667023,-79.401805"
Bathurst Subway Station,819 Bathurst Street,5.0,"43.667023,-79.401805"
Bay Subway Station,1240 Bay Street,5.0,"43.667023,-79.401805"
Queen's Park Subway Station,129 College Street,5.0,"43.667023,-79.401805"
Spadina Subway Station,6 Spadina Road,2.0,"43.66842,-79.410585"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.66842,-79.410585"
Keele Subway Station,21 Keele Street,1.0,"43.66402,-79.46418"
Wellesley Subway Station,16 Wellesley Street E,1.0,"43.671278,-79.372127"
Museum Subway Station,75 Queen's Park,6.0,"43.66834,-79.38235"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.66834,-79.38235"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.66834,-79.38235"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.66834,-79.38235"
Bay Subway Station,1240 Bay Street,6.0,"43.66834,-79.38235"
Queen's Park Subway Station,129 College Street,6.0,"43.66834,-79.38235"
Union Station,65 Front Street W,8.0,"43.65263,-79.38766"
VIA Rail Canada,65 Front Street  W,8.0,"43.65263,-79.38766"
St Patrick Subway Station,449 University Avenue,8.0,"43.65263,-79.38766"
Dundas Station,"Toronto, ON M5B 1J3",8.0,"43.65263,-79.38766"
Queen Station,171 Yonge Street,8.0,"43.65263,-79.38766"
King Station,3 King Street E,8.0,"43.65263,-79.38766"
Queen's Park Subway Station,129 College Street,8.0,"43.65263,-79.38766"
Queen Subway Station,8 Queen Street W,8.0,"43.65263,-79.38766"
Union Station,65 Front Street W,7.0,"43.65158,-79.38655"
VIA Rail Canada,65 Front Street  W,7.0,"43.65158,-79.38655"
St Patrick Subway Station,449 University Avenue,7.0,"43.65158,-79.38655"
Queen Station,171 Yonge Street,7.0,"43.65158,-79.38655"
King Station,3 King Street E,7.0,"43.65158,-79.38655"
Queen's Park Subway Station,129 College Street,7.0,"43.65158,-79.38655"
Queen Subway Station,8 Queen Street W,7.0,"43.65158,-79.38655"
Main Street Subway Station,315 Main Street,2.0,"43.694341,-79.291416"
Danforth GO,213 Main Street,2.0,"43.694341,-79.291416"
Union Station,65 Front Street W,5.0,"43.64422,-79.36927"
VIA Rail Canada,65 Front Street  W,5.0,"43.64422,-79.36927"
King Station,3 King Street E,5.0,"43.64422,-79.36927"
Queen Station,171 Yonge Street,5.0,"43.64422,-79.36927"
Queen Subway Station,8 Queen Street W,5.0,"43.64422,-79.36927"
St Patrick Subway Station,449 University Avenue,1.0,"43.6462574,-79.3973381"
High Park Subway Station,35 Quebec Avenue,2.0,"43.645599,-79.4657123"
Runnymede Station,265 Runnymede Road,2.0,"43.645599,-79.4657123"
