name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Dilbag Singh,1401 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Lahore Biryani House,1386 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Lions Club of Toronto,10 Ashbridges Bay Park Rd,,0.0,0.0,50.0,"43.666224,-79.317693"
Lloyd's,1298 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Queen's Steah House,1290 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,50.0,"43.653236,-79.376716"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.653236,-79.376716"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,50.0,"43.653236,-79.376716"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.653236,-79.376716"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,50.0,"43.653236,-79.376716"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.653236,-79.376716"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,50.0,"43.653236,-79.376716"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.653236,-79.376716"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,50.0,"43.653236,-79.376716"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,50.0,"43.653236,-79.376716"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,50.0,"43.653236,-79.376716"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,50.0,"43.653236,-79.376716"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.653236,-79.376716"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.653236,-79.376716"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,50.0,"43.653236,-79.376716"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.653236,-79.376716"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,50.0,"43.653236,-79.376716"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.653236,-79.376716"
The Keg Steakhouse + Bar,26 the Esplanade,8.7,133.0,183.0,50.0,"43.653236,-79.376716"
Chotto Matte,161 Bay St,8.8,52.0,22.0,50.0,"43.653236,-79.376716"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.653236,-79.376716"
C'est What,67 Front St E,8.3,1182.0,456.0,50.0,"43.653236,-79.376716"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.653236,-79.376716"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,50.0,"43.653236,-79.376716"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.653236,-79.376716"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.653236,-79.376716"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.653236,-79.376716"
King Taps,100 King St W,8.2,121.0,90.0,50.0,"43.653236,-79.376716"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.653236,-79.376716"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,50.0,"43.653236,-79.376716"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,50.0,"43.653236,-79.376716"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.653236,-79.376716"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.653236,-79.376716"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.653236,-79.376716"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.653236,-79.376716"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,50.0,"43.653236,-79.376716"
Cantina Mercatto,20 Wellington St E,7.8,3.0,9.0,50.0,"43.653236,-79.376716"
South St. Burger,360 Bay St,7.6,9.0,37.0,50.0,"43.653236,-79.376716"
Score on King,107 King St E,7.5,16.0,11.0,50.0,"43.653236,-79.376716"
Pi Co,170 University Ave,8.0,9.0,17.0,50.0,"43.653236,-79.376716"
Earl's Kitchen & Bar,150 King St W,7.9,377.0,437.0,50.0,"43.653236,-79.376716"
Tim Hortons,100 Wellington St W,7.9,6.0,16.0,50.0,"43.653236,-79.376716"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.653236,-79.376716"
Flatiron & Firkin,49 Wellington St E,7.5,87.0,107.0,50.0,"43.653236,-79.376716"
Fran's Restaurant,200 Victoria St,7.1,208.0,239.0,50.0,"43.653236,-79.376716"
Bangkok Garden Restaurant,18 Elm St,7.6,29.0,64.0,50.0,"43.653236,-79.376716"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.653236,-79.376716"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.653236,-79.376716"
Hair of the Dog,425 Church St,8.5,257.0,271.0,50.0,"43.663722,-79.380288"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,50.0,"43.663722,-79.380288"
Woody's,467 Church St,8.1,311.0,263.0,50.0,"43.663722,-79.380288"
The Keg Steakhouse & Bar,515 Jarvis St,8.9,249.0,308.0,50.0,"43.663722,-79.380288"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.663722,-79.380288"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.663722,-79.380288"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.663722,-79.380288"
Zakkushi,193 Carlton St,8.8,234.0,165.0,50.0,"43.663722,-79.380288"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,50.0,"43.663722,-79.380288"
Piedmont Coffee Bar,66 Isabella St,8.2,12.0,12.0,50.0,"43.663722,-79.380288"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,50.0,"43.663722,-79.380288"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,50.0,"43.663722,-79.380288"
Tabriz Persian Cookhouse,995 Bay St,8.2,13.0,19.0,50.0,"43.663722,-79.380288"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.663722,-79.380288"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.663722,-79.380288"
House on Parliament,454 Parliament St,8.9,220.0,279.0,50.0,"43.663722,-79.380288"
Mercatto,101 College St,8.2,46.0,82.0,50.0,"43.663722,-79.380288"
Tokyo Kitchen,20 Charles St E,8.2,37.0,39.0,50.0,"43.663722,-79.380288"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.663722,-79.380288"
Jazz Bistro,251 Victoria St,8.5,64.0,36.0,50.0,"43.663722,-79.380288"
Darvish Restaurant Tempus,508 Yonge St,7.6,32.0,31.0,50.0,"43.663722,-79.380288"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.663722,-79.380288"
Eataly,55 Bloor St W,8.4,141.0,48.0,50.0,"43.663722,-79.380288"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.663722,-79.380288"
W Burger Bar,10 College St,7.6,136.0,164.0,50.0,"43.663722,-79.380288"
Constantine,15 Charles St E,7.9,13.0,22.0,50.0,"43.663722,-79.380288"
Red Lobster,20 Dundas St E,8.1,306.0,195.0,50.0,"43.663722,-79.380288"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.663722,-79.380288"
Coffee Island,925 Bay St,7.6,25.0,24.0,50.0,"43.663722,-79.380288"
Okonomi House Restaurant,23 Charles St W,7.8,67.0,84.0,50.0,"43.663722,-79.380288"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.663722,-79.380288"
Kaka,655 Bay St,7.7,44.0,16.0,50.0,"43.663722,-79.380288"
Bangkok Garden Restaurant,18 Elm St,7.6,29.0,64.0,50.0,"43.663722,-79.380288"
7 West Cafe,7 Charles St W,7.6,179.0,267.0,50.0,"43.663722,-79.380288"
Fran's Restaurant,20 College St,7.3,268.0,278.0,50.0,"43.663722,-79.380288"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.663722,-79.380288"
O'Grady's Restaurant,518 Church St,6.9,201.0,193.0,50.0,"43.663722,-79.380288"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.663722,-79.380288"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.663722,-79.380288"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.663722,-79.380288"
Jet Fuel Coffee Shop Inc,519 Parliament St,7.2,68.0,109.0,50.0,"43.663722,-79.380288"
Jack Astor’s,2 Bloor St E,7.1,245.0,210.0,50.0,"43.663722,-79.380288"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.663722,-79.380288"
Ginger Restaurant,695 Yonge St,6.9,131.0,131.0,50.0,"43.663722,-79.380288"
Popeye's Louisiana Kitchen,645 Yonge St,6.5,17.0,11.0,50.0,"43.663722,-79.380288"
A&W Restaurant,357 Church St,6.4,5.0,9.0,50.0,"43.663722,-79.380288"
Fox and Fiddle,27 Wellesley St E,6.3,46.0,78.0,50.0,"43.663722,-79.380288"
Artful Dodger Pub,12 Isabella St,6.5,92.0,119.0,50.0,"43.663722,-79.380288"
