name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Paupers Pub,539 Bloor St W,6.1,184.0,179.0,43.0,"43.663912,-79.416124"
St. Louis Bar and Grill,376 Bloor St W,6.4,39.0,43.0,43.0,"43.663912,-79.416124"
MaMa Chef Korean Restaurant,648 Bloor St W,,0.0,0.0,43.0,"43.663912,-79.416124"
Bangarang Bar,552 College St,6.4,2.0,9.0,43.0,"43.663912,-79.416124"
Lamhan Banh Mi,733 Bloor St W,,0.0,0.0,43.0,"43.663912,-79.416124"
Tim Hortons,726 Bloor St W,5.2,17.0,53.0,43.0,"43.663912,-79.416124"
Christie Pits Pub,814 Bloor St W,,0.0,0.0,43.0,"43.663912,-79.416124"
Think It Pensa Italiano,196 Borden St,,0.0,0.0,43.0,"43.663912,-79.416124"
Levant,899 Bloor St W,,0.0,0.0,43.0,"43.663912,-79.416124"
McDonald's,885 Bloor St W,5.2,14.0,45.0,43.0,"43.663912,-79.416124"
Tim Hortons,3071 Bloor St W,6.4,12.0,13.0,43.0,"43.663912,-79.416124"
Harrington's Fish & Chips,809 Beatrice St,,0.0,0.0,43.0,"43.663912,-79.416124"
Wild Wing,Wing Toronto Bloor St,,0.0,0.0,43.0,"43.663912,-79.416124"
588 Snackbar,588 College St,,0.0,0.0,43.0,"43.663912,-79.416124"
Byblos,11 Duncan St,9.3,163.0,337.0,50.0,"43.6458569,-79.3853654"
Pai,18 Duncan St,9.2,515.0,932.0,50.0,"43.6458569,-79.3853654"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,50.0,"43.6458569,-79.3853654"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,50.0,"43.6458569,-79.3853654"
Copacabana Brazilian Steakhouse Adelaide,230 Adelaide St W,8.6,91.0,214.0,50.0,"43.6458569,-79.3853654"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.6458569,-79.3853654"
A&W Restaurant,8 Mercer St,8.3,20.0,28.0,50.0,"43.6458569,-79.3853654"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,50.0,"43.6458569,-79.3853654"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,50.0,"43.6458569,-79.3853654"
Chotto Matte,161 Bay St,8.8,52.0,22.0,50.0,"43.6458569,-79.3853654"
The Loose Moose Tap & Grill,146 Front St W,7.9,521.0,445.0,50.0,"43.6458569,-79.3853654"
SOCO Kitchen + Bar,75 Lower Simcoe St,8.2,137.0,155.0,50.0,"43.6458569,-79.3853654"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,50.0,"43.6458569,-79.3853654"
King Taps,100 King St W,8.2,121.0,90.0,50.0,"43.6458569,-79.3853654"
Earl's Kitchen & Bar,150 King St W,7.9,377.0,437.0,50.0,"43.6458569,-79.3853654"
360 Restaurant,301 Front St W,8.1,962.0,452.0,50.0,"43.6458569,-79.3853654"
SOMA chocolatemaker,443 King St W,9.3,254.0,312.0,50.0,"43.6458569,-79.3853654"
RaviSoups,322 Adelaide St W,8.3,111.0,229.0,50.0,"43.6458569,-79.3853654"
Bar Hop,391 King St W,8.6,1135.0,461.0,50.0,"43.6458569,-79.3853654"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.6458569,-79.3853654"
Ikkousha Ramen,249 Queen St W,8.4,47.0,24.0,50.0,"43.6458569,-79.3853654"
Town Crier Pub,115 John St,8.1,311.0,320.0,50.0,"43.6458569,-79.3853654"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.6458569,-79.3853654"
The Rec Room,255 Bremner Blvd,8.2,122.0,162.0,50.0,"43.6458569,-79.3853654"
McCafé,65 Front St W,7.9,14.0,29.0,50.0,"43.6458569,-79.3853654"
Jack Astor's,144 Front St W,7.5,458.0,583.0,50.0,"43.6458569,-79.3853654"
The Keg Steakhouse + Bar,26 the Esplanade,8.7,133.0,183.0,50.0,"43.6458569,-79.3853654"
Queen St Warehouse,232 Queen St W,8.2,85.0,174.0,50.0,"43.6458569,-79.3853654"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,50.0,"43.6458569,-79.3853654"
BeaverTails,145 Queen's Quay W,8.5,110.0,97.0,50.0,"43.6458569,-79.3853654"
Grace O'Malley's,14 Duncan St,7.7,99.0,144.0,50.0,"43.6458569,-79.3853654"
Null,123 Front St W,7.5,41.0,50.0,50.0,"43.6458569,-79.3853654"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,50.0,"43.6458569,-79.3853654"
Khao San Road,11 Charlotte St,8.1,87.0,95.0,50.0,"43.6458569,-79.3853654"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.6458569,-79.3853654"
Kost,80 Blue Jays Way,7.9,88.0,62.0,50.0,"43.6458569,-79.3853654"
Pearl Harbourfront Restaurant,207 Queen's Quay W,8.2,189.0,179.0,50.0,"43.6458569,-79.3853654"
Steam Whistle Biergärten,255 Bremner Blvd,7.7,42.0,16.0,50.0,"43.6458569,-79.3853654"
C'est What,67 Front St E,8.3,1182.0,456.0,50.0,"43.6458569,-79.3853654"
Harbour Sixty Steakhouse,60 Harbour St,7.9,116.0,113.0,50.0,"43.6458569,-79.3853654"
Cibo Wine Bar,522 King St W,8.2,158.0,230.0,50.0,"43.6458569,-79.3853654"
Horseshoe Tavern,370 Queen St W,8.1,402.0,314.0,50.0,"43.6458569,-79.3853654"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.6458569,-79.3853654"
Cantina Mercatto,20 Wellington St E,7.8,3.0,9.0,50.0,"43.6458569,-79.3853654"
The Rivoli,334 Queen St W,7.6,355.0,289.0,50.0,"43.6458569,-79.3853654"
Elephant & Castle,212 King St W,6.9,202.0,206.0,50.0,"43.6458569,-79.3853654"
Boston Pizza,250 Front St W,6.9,147.0,191.0,50.0,"43.6458569,-79.3853654"
Flatiron & Firkin,49 Wellington St E,7.5,87.0,107.0,50.0,"43.6458569,-79.3853654"
The Pint Public House,277 Front St W,6.9,67.0,50.0,50.0,"43.6458569,-79.3853654"
Milagro Restau & Cantina Inc,5 Mercer St,6.8,158.0,178.0,50.0,"43.6458569,-79.3853654"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,48.0,"43.66587,-79.33443"
Te Aro,983 Queen St E,8.9,192.0,239.0,48.0,"43.66587,-79.33443"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,48.0,"43.66587,-79.33443"
Radical Road Brewing Co,1177 Queen St E,8.1,83.0,33.0,48.0,"43.66587,-79.33443"
Hanoi 3 Seasons,1135 Queen St E,8.0,17.0,37.0,48.0,"43.66587,-79.33443"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,48.0,"43.66587,-79.33443"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,135.0,195.0,48.0,"43.66587,-79.33443"
Gio Rana's Really Really Nice Restaurant,1220 Queen St E,7.8,48.0,77.0,48.0,"43.66587,-79.33443"
Wynona,819 Gerrard St E,8.3,14.0,15.0,48.0,"43.66587,-79.33443"
Pizza Pide,949 Gerrard St E,7.8,27.0,54.0,48.0,"43.66587,-79.33443"
Reliable Halibut & Chips,954 Queen St E,7.9,22.0,14.0,48.0,"43.66587,-79.33443"
Purple Penguin Cafe,889 Queen St E,7.8,20.0,28.0,48.0,"43.66587,-79.33443"
Dineen Outpost,1042 Gerrard St E,7.2,19.0,12.0,48.0,"43.66587,-79.33443"
Mean Bao,181A Carlaw Ave Ground,7.9,18.0,56.0,48.0,"43.66587,-79.33443"
Chula Taberna Mexicana,1058 Gerrard St E,7.0,33.0,30.0,48.0,"43.66587,-79.33443"
Subway,331 Carlaw Ave,7.1,1.0,6.0,48.0,"43.66587,-79.33443"
Barrio Cerveceria,884 Queen St E,7.0,42.0,41.0,48.0,"43.66587,-79.33443"
Sweet Bliss Baking Co,1304A Queen St E,6.6,7.0,17.0,48.0,"43.66587,-79.33443"
Popeye's Louisiana Kitchen,1000 Gerrard St E,6.5,0.0,0.0,48.0,"43.66587,-79.33443"
The Roy Public House,894 Queen St E,6.7,83.0,73.0,48.0,"43.66587,-79.33443"
McDonald's,1000 Gerrard St E,6.3,24.0,30.0,48.0,"43.66587,-79.33443"
Duke of York,1225 Queen St E,5.9,22.0,17.0,48.0,"43.66587,-79.33443"
Pizza Pizza,1063 Gerrard St E,5.7,7.0,5.0,48.0,"43.66587,-79.33443"
Pizza Pizza,1252 Gerrard St E,6.1,6.0,11.0,48.0,"43.66587,-79.33443"
Nodo Leslieville,1192 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
KaSpace Cafe,1183 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Lavender Menace,1062 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Tim Hortons,1000 Gerrard St E,5.6,20.0,27.0,48.0,"43.66587,-79.33443"
Gardel,1020 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Slowhand Sourdough Pizza,99 Pape Ave,,0.0,0.0,48.0,"43.66587,-79.33443"
Jules Bistro,1219 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Lloyd's on Queen,1298 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Betty's East,1301 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
TuckShop Kitchen Leslieville,1022 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Wendy's,731 Eastern Ave,5.7,11.0,8.0,48.0,"43.66587,-79.33443"
Ultimate Kitchens Leslieville,461 Carlaw Ave,,0.0,0.0,48.0,"43.66587,-79.33443"
Real Fruit Bubble Tea,1000 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Madame Levant,821 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Maru Japanese Bistro,1402 Queen St W,,0.0,0.0,48.0,"43.66587,-79.33443"
One Night Only Pizza,227 Withrow Ave,,0.0,0.0,48.0,"43.66587,-79.33443"
Pollyanna,1054 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Kaneko & Poonie,1000 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Great Steak,1000 Gerrard St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Lloyd's,1298 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Parkside Fish and Chips,210 Greenwood Ave,,0.0,0.0,48.0,"43.66587,-79.33443"
Boston Pizza,1015 Lake Shore Blvd E,,0.0,0.0,48.0,"43.66587,-79.33443"
Slow Fish,888 Queen St E,,0.0,0.0,48.0,"43.66587,-79.33443"
Steve Chang,549 Danforth Ave,,0.0,0.0,48.0,"43.66587,-79.33443"
House on Parliament,454 Parliament St,8.9,220.0,279.0,50.0,"43.658816,-79.367318"
Zakkushi,193 Carlton St,8.8,234.0,165.0,50.0,"43.658816,-79.367318"
Figs Breakfast & Lunch,344 Queen St E,8.2,42.0,82.0,50.0,"43.658816,-79.367318"
Page One Cafe,106 Mutual St,8.9,70.0,88.0,50.0,"43.658816,-79.367318"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,50.0,"43.658816,-79.367318"
Fusaro's,294 Richmond St E,8.6,46.0,74.0,50.0,"43.658816,-79.367318"
Roselle Desserts,362 King St E,8.9,45.0,61.0,50.0,"43.658816,-79.367318"
Le Beau,665 Dundas St E,8.6,24.0,13.0,50.0,"43.658816,-79.367318"
Tandem Coffee,368 King St E,8.8,51.0,75.0,50.0,"43.658816,-79.367318"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.658816,-79.367318"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,50.0,"43.658816,-79.367318"
Mystic Muffin,113 Jarvis St,8.8,39.0,52.0,50.0,"43.658816,-79.367318"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,50.0,"43.658816,-79.367318"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,50.0,"43.658816,-79.367318"
Impact Kitchen,573 King St E,8.7,34.0,64.0,50.0,"43.658816,-79.367318"
The Black Canary Espresso Bar,61 Sherbourne St,8.4,63.0,109.0,50.0,"43.658816,-79.367318"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.658816,-79.367318"
Triple a Bar,138 Adelaide St E,8.3,108.0,156.0,50.0,"43.658816,-79.367318"
Golden Greek,105 Carlton St,8.3,31.0,55.0,50.0,"43.658816,-79.367318"
Pearl Diver,100 Adelaide St E,8.3,151.0,151.0,50.0,"43.658816,-79.367318"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,50.0,"43.658816,-79.367318"
Le Petit Dejeuner,191 King St E,8.0,161.0,308.0,50.0,"43.658816,-79.367318"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.658816,-79.367318"
Kabul Express,126 Dundas St E,7.6,27.0,53.0,50.0,"43.658816,-79.367318"
Jet Fuel Coffee Shop Inc,519 Parliament St,7.2,68.0,109.0,50.0,"43.658816,-79.367318"
Balzacs Coffee,122 Bond St,7.4,112.0,158.0,50.0,"43.658816,-79.367318"
King Place,236 Sherbourne St,6.7,11.0,25.0,50.0,"43.658816,-79.367318"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.658816,-79.367318"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.658816,-79.367318"
McVeigh's Irish Pub,124 Church St,6.8,45.0,42.0,50.0,"43.658816,-79.367318"
Mast Coffee,68 Shuter St,6.7,16.0,16.0,50.0,"43.658816,-79.367318"
Tim Hortons,335 Parliament St,6.1,15.0,22.0,50.0,"43.658816,-79.367318"
Tim Hortons,69 Regent Park Blvd,6.4,41.0,1.0,50.0,"43.658816,-79.367318"
Gabby's Eatery & Taps,193 King St,6.8,30.0,28.0,50.0,"43.658816,-79.367318"
Pita Land,102 Gerrard St E,6.5,9.0,15.0,50.0,"43.658816,-79.367318"
Subway,320 Richmond St E,6.2,1.0,3.0,50.0,"43.658816,-79.367318"
Tim Hortons,241 Church St,6.3,1.0,2.0,50.0,"43.658816,-79.367318"
Tim Hortons,581 Parliament St,6.3,2.0,1.0,50.0,"43.658816,-79.367318"
Tim Hortons,323 Richmond St E,6.0,23.0,46.0,50.0,"43.658816,-79.367318"
A&W Restaurant,357 Church St,6.4,5.0,9.0,50.0,"43.658816,-79.367318"
Jerk Paradise,296A Gerrard St E,,0.0,0.0,50.0,"43.658816,-79.367318"
Decoy Bar Inc,370 Queen St E,,0.0,0.0,50.0,"43.658816,-79.367318"
The Tilted Dog Pub & Kitchen,424 Parliament St,,0.0,0.0,50.0,"43.658816,-79.367318"
Chamsine Authentic Halal Cuisine,235 Queen St E,,0.0,0.0,50.0,"43.658816,-79.367318"
Saigon Pai,446 Parliament St,,0.0,0.0,50.0,"43.658816,-79.367318"
Pita Land,155 Dundas St E St E,,0.0,0.0,50.0,"43.658816,-79.367318"
Tim Hortons,256 Jarvis St,5.5,15.0,17.0,50.0,"43.658816,-79.367318"
Laziz Curry Kitchen,151 Dundas St E,,0.0,0.0,50.0,"43.658816,-79.367318"
Reyna on King,354 King St E,,0.0,0.0,50.0,"43.658816,-79.367318"
Salt & Tobacco,521 Parliament St,,0.0,0.0,50.0,"43.658816,-79.367318"
Henderson Brewing Co,128A Sterling Rd,7.8,131.0,55.0,50.0,"43.654004,-79.444792"
Bandit Brewery,2125 Dundas St W,8.6,316.0,113.0,50.0,"43.654004,-79.444792"
The Gaslight,1426 Bloor St W,8.6,2.0,30.0,50.0,"43.654004,-79.444792"
The Chocolateria,361 Roncesvalles Ave,8.8,21.0,34.0,50.0,"43.654004,-79.444792"
Propeller Coffee Co,50 Wade Ave,8.6,120.0,93.0,50.0,"43.654004,-79.444792"
The 3 Speed,1163 Bloor St W,9.0,110.0,150.0,50.0,"43.654004,-79.444792"
Burdock,1184 Bloor St W,9.1,182.0,95.0,50.0,"43.654004,-79.444792"
Cabin Fever Collective,1669 Bloor St W,8.9,49.0,49.0,50.0,"43.654004,-79.444792"
Sunny Joes,250 Sorauren Ave,8.3,3.0,9.0,50.0,"43.654004,-79.444792"
The Dizzy,305A Roncesvalles Ave,8.3,32.0,39.0,50.0,"43.654004,-79.444792"
Reunion Island Coffee Bar,385 Roncesvalles Ave,8.0,28.0,65.0,50.0,"43.654004,-79.444792"
Linh Restaurant,1156 College St,8.3,36.0,88.0,50.0,"43.654004,-79.444792"
Black Dice Cafe,1574 Dundas St W,8.4,42.0,44.0,50.0,"43.654004,-79.444792"
Le Baratin,1600 Dundas St W,8.2,20.0,20.0,50.0,"43.654004,-79.444792"
Whelan's Gate Irish Pub,1663 Bloor St W,8.2,8.0,20.0,50.0,"43.654004,-79.444792"
Gold Standard,385 Roncesvalles Ave,7.7,6.0,9.0,50.0,"43.654004,-79.444792"
The Commoner,2067 Dundas St W,7.4,3.0,17.0,50.0,"43.654004,-79.444792"
Grey Tiger,1190 Bloor St W,7.9,5.0,15.0,50.0,"43.654004,-79.444792"
Seoul Shakers,1241 Bloor St W,7.6,6.0,18.0,50.0,"43.654004,-79.444792"
Lula Lounge,1585 Dundas St W,8.0,260.0,99.0,50.0,"43.654004,-79.444792"
The Local,396 Roncesvalles Ave,7.4,63.0,71.0,50.0,"43.654004,-79.444792"
King Slice,1598 Bloor St W,7.4,23.0,59.0,50.0,"43.654004,-79.444792"
Loons Pub,416 Roncesvalles Ave,7.2,20.0,37.0,50.0,"43.654004,-79.444792"
Uncle Mikey's,1597 Dundas St W,7.5,1.0,9.0,50.0,"43.654004,-79.444792"
Donna’s,827 Lansdowne Ave,7.5,9.0,11.0,50.0,"43.654004,-79.444792"
Laylow Beer Bar and Eatery,1144 College St,7.3,27.0,12.0,50.0,"43.654004,-79.444792"
Brazil Bakery & Pastry Ltd,1566 Dundas St W,7.2,48.0,47.0,50.0,"43.654004,-79.444792"
Round the Horn,331 Roncesvalles Ave,6.8,7.0,14.0,50.0,"43.654004,-79.444792"
Taco Bell,900 Dufferin St,6.6,4.0,13.0,50.0,"43.654004,-79.444792"
Mavros Foods & Distributors,182C Saint Helens Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Tim Hortons,1269 College St,6.0,30.0,21.0,50.0,"43.654004,-79.444792"
KFC,900 Dufferin St,6.1,8.0,6.0,50.0,"43.654004,-79.444792"
Thai Nyyom,1419 Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Kibo Sushi House,1415 Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Peppers Cafe,189 Wallace Ave,6.0,16.0,10.0,50.0,"43.654004,-79.444792"
Conzo’s Pizza,279 Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Papa John's Pizza,1269 College St,,0.0,0.0,50.0,"43.654004,-79.444792"
Buono,413 Roncesvalles Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Yummy Pizza,1745 Dundas St W,,0.0,0.0,50.0,"43.654004,-79.444792"
AM Coffee Studio,2233 Dundas St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Juniors Pizzeria,2243 Dundas St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Musoshin Ramen,9 Boustead Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Galaxy T&T Fresh Fruit & Vegetable,1227A Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Bacan,369 Roncesvalles Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Albany Pizza,222 Lansdowne Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Viaggio,1727 Dundas St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Monte Bianco Italian Cuisine,1201 Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Alimentari Italian Grocery,325 Roncesvalles Ave,,0.0,0.0,50.0,"43.654004,-79.444792"
Villa Madina,900 Dufferin St,,0.0,0.0,50.0,"43.654004,-79.444792"
African Delight,1180 Bloor St W,,0.0,0.0,50.0,"43.654004,-79.444792"
Easy Restaurant,1645 Queen St W,8.3,86.0,118.0,45.0,"43.6397,-79.44865"
Amico's Pizza,1648 Queen St W,8.4,7.0,16.0,45.0,"43.6397,-79.44865"
Craig's Cookies,1537A Queen St W,8.0,8.0,10.0,45.0,"43.6397,-79.44865"
Sunny Joes,250 Sorauren Ave,8.3,3.0,9.0,45.0,"43.6397,-79.44865"
The Dizzy,305A Roncesvalles Ave,8.3,32.0,39.0,45.0,"43.6397,-79.44865"
Kami Sushi,153A Roncesvalles Ave,7.5,6.0,9.0,45.0,"43.6397,-79.44865"
Cherry Bomb Coffee,79 Roncesvalles Ave,7.2,64.0,97.0,45.0,"43.6397,-79.44865"
Chopin Restaurant,165 Roncesvalles Ave,7.0,12.0,12.0,45.0,"43.6397,-79.44865"
Tim Hortons,175 Roncesvalles Ave,7.0,14.0,6.0,45.0,"43.6397,-79.44865"
Islas Filipino BBQ and Bar,1690 Queen St W,6.7,22.0,8.0,45.0,"43.6397,-79.44865"
Tibet Kitchen,1544 Queen St W,6.9,18.0,23.0,45.0,"43.6397,-79.44865"
Glory of India,1407 Queen St W,7.1,1.0,9.0,45.0,"43.6397,-79.44865"
Extra Butter Coffee,283 Roncesvalles Ave,6.9,26.0,27.0,45.0,"43.6397,-79.44865"
Hot Oven Bakery,177 Roncesvalles Ave,6.6,9.0,13.0,45.0,"43.6397,-79.44865"
Megumi Sushi,20 Roncesvalles Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
"Paddler, Thai Boat Noodles",1710 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Thai Home,133 Roncesvalles Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Birria Catrina,131 Roncesvalles Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Jinks Art Factory,1664 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
McDonald's,10 the Queensway,4.9,10.0,22.0,45.0,"43.6397,-79.44865"
Yummy Chinese Food,1533A Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Clandestino Wine Bar,1592 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Daves Hot Chicken,1582 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Donerland,217 Roncesvalles Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Sunnyside Pavilion Cafe,1755 Lake Shore Blvd W,,0.0,0.0,45.0,"43.6397,-79.44865"
Tenny's,1554 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Gianna's Pies and Patties,1554 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Tsampa Cafe,1528 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Songtsen Gampo Cafe,1504 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Little Tibet Restaurant,1449A Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Gabby's Restaurant Group,157 Roncesvalles Ave,4.8,10.0,21.0,45.0,"43.6397,-79.44865"
Tashi Delek Cafe,223 Jameson Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Souvlaki Kalamaki,1405 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Grill Cottage,1468 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Poke Sushi,1405 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Di Roma Pizza,1407 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Tim Hortons,1480 Queen St W,5.3,48.0,30.0,45.0,"43.6397,-79.44865"
Mama Rosa on Roncesvalles,5 Roncesvalles Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Cake Opera Co,1716 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Rangzen Cafe,1600 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Daiko Indian and Nepali Street Food,1564 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
New Jason's Coffee Shop,1498 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Nine Star Family Restaurant,1439 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Parkdale Guest House,18 Maynard Ave,,0.0,0.0,45.0,"43.6397,-79.44865"
Cube Restaurant,1407 Queen St W,,0.0,0.0,45.0,"43.6397,-79.44865"
Roselle Desserts,362 King St E,8.9,45.0,61.0,50.0,"43.653809,-79.3595"
Tandem Coffee,368 King St E,8.8,51.0,75.0,50.0,"43.653809,-79.3595"
Soma Chocolatemaker,32 Tank House Lane,8.8,318.0,257.0,50.0,"43.653809,-79.3595"
Impact Kitchen,573 King St E,8.7,34.0,64.0,50.0,"43.653809,-79.3595"
Souk Tabule,494 Front St E,8.8,27.0,71.0,50.0,"43.653809,-79.3595"
Arvo Coffee,17 Gristmill Lane,9.0,59.0,78.0,50.0,"43.653809,-79.3595"
Brick Street Bakery,55 Mill St,8.4,78.0,87.0,50.0,"43.653809,-79.3595"
Cluny Bistro,35 Tank House Lane,8.5,333.0,270.0,50.0,"43.653809,-79.3595"
Balzac's Coffee Roastery,55 Mill St,8.6,500.0,357.0,50.0,"43.653809,-79.3595"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,50.0,"43.653809,-79.3595"
Figs Breakfast & Lunch,344 Queen St E,8.2,42.0,82.0,50.0,"43.653809,-79.3595"
El Catrin Destileria,18 Tank House Lane,8.0,705.0,707.0,50.0,"43.653809,-79.3595"
Wildly Delicious,11 Tank House Lane,8.0,42.0,17.0,50.0,"43.653809,-79.3595"
Mill Street Brew Pub,21 Tank House Lane,8.0,1132.0,815.0,50.0,"43.653809,-79.3595"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,50.0,"43.653809,-79.3595"
White Lily Diner,678 Queen St E,9.0,27.0,49.0,50.0,"43.653809,-79.3595"
Le Beau,665 Dundas St E,8.6,24.0,13.0,50.0,"43.653809,-79.3595"
Fusaro's,294 Richmond St E,8.6,46.0,74.0,50.0,"43.653809,-79.3595"
The Black Canary Espresso Bar,61 Sherbourne St,8.4,65.0,109.0,50.0,"43.653809,-79.3595"
Dark Horse Espresso Bar,630 Queen St E,8.4,46.0,57.0,50.0,"43.653809,-79.3595"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.653809,-79.3595"
Miyaki Sushi,222 the Esplanade,7.9,6.0,18.0,50.0,"43.653809,-79.3595"
Le Petit Dejeuner,191 King St E,8.0,161.0,308.0,50.0,"43.653809,-79.3595"
Cluck Clucks,222 the Esplanade,7.8,29.0,38.0,50.0,"43.653809,-79.3595"
Archeo Trattoria,55 Mill St,7.3,92.0,44.0,50.0,"43.653809,-79.3595"
Eastbound Brewing Co,700 Queen St E,7.9,87.0,31.0,50.0,"43.653809,-79.3595"
The Aviary,484A Front St E,7.3,27.0,13.0,50.0,"43.653809,-79.3595"
Madrina Bar Y Tapas,2 Trinity St,7.3,46.0,35.0,50.0,"43.653809,-79.3595"
Prohibition Gastrohouse,696 Queen St E,7.5,215.0,234.0,50.0,"43.653809,-79.3595"
Bolet's Burrito,134 Lower Sherbourne St,7.1,7.0,42.0,50.0,"43.653809,-79.3595"
Brickworks Ciderhouse,709 Queen St E,7.0,59.0,24.0,50.0,"43.653809,-79.3595"
Gabby's Eatery & Taps,193 King St,6.8,30.0,28.0,50.0,"43.653809,-79.3595"
Tim Hortons,69 Regent Park Blvd,6.4,41.0,1.0,50.0,"43.653809,-79.3595"
Subway,320 Richmond St E,6.2,1.0,3.0,50.0,"43.653809,-79.3595"
Reyna on King,354 King St E,,0.0,0.0,50.0,"43.653809,-79.3595"
Copper Branch,470 Front St E,,0.0,0.0,50.0,"43.653809,-79.3595"
Tim Hortons,335 Parliament St,6.1,15.0,22.0,50.0,"43.653809,-79.3595"
